time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	1	1	0	0	1	1	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	1	1	0	0	1	1	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	3	2	0	1	3	2	0	1
00:25:00	1500	4	4	0	1	4	4	0	1
00:30:00	1800	4	4	0	1	4	4	0	1
00:35:00	2100	1	2	0	0	1	2	0	0
00:40:00	2400	5	3	0	2	5	3	0	2
00:45:00	2700	2	3	0	1	2	3	0	1
00:50:00	3000	4	2	0	3	4	2	0	3
00:55:00	3300	4	6	0	1	4	6	0	1
01:00:00	3600	3	1	0	3	3	1	0	3
01:05:00	3900	4	6	0	1	4	6	0	1
01:10:00	4200	2	2	0	1	2	2	0	1
01:15:00	4500	3	3	0	1	3	3	0	1
01:20:00	4800	1	2	0	0	1	2	0	0
01:25:00	5100	3	1	0	2	3	1	0	2
01:30:00	5400	6	4	0	4	6	4	0	4
01:35:00	5700	3	5	0	2	3	5	0	2
01:40:00	6000	5	4	0	3	5	4	0	3
01:45:00	6300	3	4	0	2	3	4	0	2
01:50:00	6600	1	3	0	0	1	3	0	0
01:55:00	6900	6	2	0	4	6	2	0	4
02:00:00	7200	4	5	0	3	4	5	0	3
02:05:00	7500	3	3	0	3	3	3	0	3
02:10:00	7800	2	3	0	2	2	3	0	2
02:15:00	8100	3	4	0	1	3	4	0	1
02:20:00	8400	0	1	0	0	0	1	0	0
02:25:00	8700	3	2	0	1	3	2	0	1
02:30:00	9000	2	1	0	2	2	1	0	2
02:35:00	9300	0	2	0	0	0	2	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	0	0	0	0	0	0	0	0
04:20:00	15600	0	0	0	0	0	0	0	0
04:25:00	15900	0	0	0	0	0	0	0	0
04:30:00	16200	0	0	0	0	0	0	0	0
04:35:00	16500	0	0	0	0	0	0	0	0
04:40:00	16800	0	0	0	0	0	0	0	0
04:45:00	17100	0	0	0	0	0	0	0	0
04:50:00	17400	0	0	0	0	0	0	0	0
04:55:00	17700	0	0	0	0	0	0	0	0
05:00:00	18000	0	0	0	0	0	0	0	0
05:05:00	18300	0	0	0	0	0	0	0	0
05:10:00	18600	0	0	0	0	0	0	0	0
05:15:00	18900	0	0	0	0	0	0	0	0
05:20:00	19200	0	0	0	0	0	0	0	0
05:25:00	19500	0	0	0	0	0	0	0	0
05:30:00	19800	0	0	0	0	0	0	0	0
05:35:00	20100	0	0	0	0	0	0	0	0
05:40:00	20400	0	0	0	0	0	0	0	0
05:45:00	20700	0	0	0	0	0	0	0	0
05:50:00	21000	0	0	0	0	0	0	0	0
05:55:00	21300	0	0	0	0	0	0	0	0
06:00:00	21600	0	0	0	0	0	0	0	0
06:05:00	21900	0	0	0	0	0	0	0	0
06:10:00	22200	0	0	0	0	0	0	0	0
06:15:00	22500	0	0	0	0	0	0	0	0
06:20:00	22800	0	0	0	0	0	0	0	0
06:25:00	23100	0	0	0	0	0	0	0	0
06:30:00	23400	0	0	0	0	0	0	0	0
06:35:00	23700	0	0	0	0	0	0	0	0
06:40:00	24000	0	0	0	0	0	0	0	0
06:45:00	24300	1	1	0	0	1	1	0	0
06:50:00	24600	0	0	0	0	0	0	0	0
06:55:00	24900	1	0	0	1	1	0	0	1
07:00:00	25200	3	1	0	3	3	1	0	3
07:05:00	25500	8	8	0	3	8	8	0	3
07:10:00	25800	1	4	0	0	1	4	0	0
07:15:00	26100	8	4	0	4	8	4	0	4
07:20:00	26400	19	11	0	12	19	11	0	12
07:25:00	26700	19	20	0	11	19	20	0	11
07:30:00	27000	27	22	0	16	27	22	0	16
07:35:00	27300	32	24	0	24	32	24	0	24
07:40:00	27600	24	36	0	12	24	36	0	12
07:45:00	27900	28	20	0	20	28	20	0	20
07:50:00	28200	11	25	0	6	11	25	0	6
07:55:00	28500	14	12	0	8	14	12	0	8
08:00:00	28800	18	19	0	7	18	19	0	7
08:05:00	29100	19	16	0	10	19	16	0	10
08:10:00	29400	16	20	0	6	16	20	0	6
08:15:00	29700	11	11	0	6	11	11	0	6
08:20:00	30000	16	15	0	7	16	15	0	7
08:25:00	30300	24	19	0	12	24	19	0	12
08:30:00	30600	17	19	0	10	17	19	0	10
08:35:00	30900	13	16	0	7	13	16	0	7
08:40:00	31200	13	13	0	7	13	13	0	7
08:45:00	31500	20	16	0	11	20	16	0	11
08:50:00	31800	17	16	0	12	17	16	0	12
08:55:00	32100	14	19	0	7	14	19	0	7
09:00:00	32400	26	22	0	11	26	22	0	11
09:05:00	32700	19	20	0	10	19	20	0	10
09:10:00	33000	19	19	0	10	19	19	0	10
09:15:00	33300	8	15	0	3	8	15	0	3
09:20:00	33600	17	12	0	8	17	12	0	8
09:25:00	33900	13	13	0	8	13	13	0	8
09:30:00	34200	8	12	0	4	8	12	0	4
09:35:00	34500	14	10	0	8	14	10	0	8
09:40:00	34800	12	12	0	8	12	12	0	8
09:45:00	35100	11	13	0	6	11	13	0	6
09:50:00	35400	7	9	0	4	7	9	0	4
09:55:00	35700	11	11	0	4	11	11	0	4
10:00:00	36000	15	14	0	5	15	14	0	5
10:05:00	36300	3	7	0	1	3	7	0	1
10:10:00	36600	5	4	0	2	5	4	0	2
10:15:00	36900	4	6	0	0	4	6	0	0
10:20:00	37200	4	1	0	3	4	1	0	3
10:25:00	37500	3	5	0	1	3	5	0	1
10:30:00	37800	7	4	0	4	7	4	0	4
10:35:00	38100	1	5	0	0	1	5	0	0
10:40:00	38400	8	5	0	3	8	5	0	3
10:45:00	38700	3	6	0	0	3	6	0	0
10:50:00	39000	4	2	0	2	4	2	0	2
10:55:00	39300	9	5	0	6	9	5	0	6
11:00:00	39600	10	12	0	4	10	12	0	4
11:05:00	39900	2	4	0	2	2	4	0	2
11:10:00	40200	3	4	0	1	3	4	0	1
11:15:00	40500	2	3	0	0	2	3	0	0
11:20:00	40800	3	1	0	2	3	1	0	2
11:25:00	41100	2	3	0	1	2	3	0	1
11:30:00	41400	0	1	0	0	0	1	0	0
11:35:00	41700	3	1	0	2	3	1	0	2
11:40:00	42000	0	2	0	0	0	2	0	0
11:45:00	42300	0	0	0	0	0	0	0	0
11:50:00	42600	0	0	0	0	0	0	0	0
11:55:00	42900	1	0	0	1	1	0	0	1
12:00:00	43200	6	6	0	1	6	6	0	1
12:05:00	43500	1	1	0	1	1	1	0	1
12:10:00	43800	2	1	0	2	2	1	0	2
12:15:00	44100	1	2	0	1	1	2	0	1
12:20:00	44400	3	2	0	2	3	2	0	2
12:25:00	44700	0	2	0	0	0	2	0	0
12:30:00	45000	2	1	0	1	2	1	0	1
12:35:00	45300	0	1	0	0	0	1	0	0
12:40:00	45600	1	1	0	0	1	1	0	0
12:45:00	45900	0	0	0	0	0	0	0	0
12:50:00	46200	0	0	0	0	0	0	0	0
12:55:00	46500	1	0	0	1	1	0	0	1
13:00:00	46800	2	3	0	0	2	3	0	0
13:05:00	47100	0	0	0	0	0	0	0	0
13:10:00	47400	0	0	0	0	0	0	0	0
13:15:00	47700	0	0	0	0	0	0	0	0
13:20:00	48000	0	0	0	0	0	0	0	0
13:25:00	48300	0	0	0	0	0	0	0	0
13:30:00	48600	2	2	0	0	2	2	0	0
13:35:00	48900	0	0	0	0	0	0	0	0
13:40:00	49200	0	0	0	0	0	0	0	0
13:45:00	49500	0	0	0	0	0	0	0	0
13:50:00	49800	0	0	0	0	0	0	0	0
13:55:00	50100	0	0	0	0	0	0	0	0
14:00:00	50400	0	0	0	0	0	0	0	0
14:05:00	50700	0	0	0	0	0	0	0	0
14:10:00	51000	0	0	0	0	0	0	0	0
14:15:00	51300	0	0	0	0	0	0	0	0
14:20:00	51600	0	0	0	0	0	0	0	0
14:25:00	51900	0	0	0	0	0	0	0	0
14:30:00	52200	0	0	0	0	0	0	0	0
14:35:00	52500	0	0	0	0	0	0	0	0
14:40:00	52800	0	0	0	0	0	0	0	0
14:45:00	53100	0	0	0	0	0	0	0	0
14:50:00	53400	0	0	0	0	0	0	0	0
14:55:00	53700	0	0	0	0	0	0	0	0
15:00:00	54000	2	1	0	1	2	1	0	1
15:05:00	54300	0	1	0	0	0	1	0	0
15:10:00	54600	0	0	0	0	0	0	0	0
15:15:00	54900	0	0	0	0	0	0	0	0
15:20:00	55200	0	0	0	0	0	0	0	0
15:25:00	55500	0	0	0	0	0	0	0	0
15:30:00	55800	0	0	0	0	0	0	0	0
15:35:00	56100	0	0	0	0	0	0	0	0
15:40:00	56400	0	0	0	0	0	0	0	0
15:45:00	56700	0	0	0	0	0	0	0	0
15:50:00	57000	1	0	0	1	1	0	0	1
15:55:00	57300	2	2	0	1	2	2	0	1
16:00:00	57600	3	3	0	1	3	3	0	1
16:05:00	57900	7	5	0	3	7	5	0	3
16:10:00	58200	1	3	0	1	1	3	0	1
16:15:00	58500	5	3	0	3	5	3	0	3
16:20:00	58800	23	15	0	11	23	15	0	11
16:25:00	59100	25	26	0	10	25	26	0	10
16:30:00	59400	20	20	0	10	20	20	0	10
16:35:00	59700	16	16	0	10	16	16	0	10
16:40:00	60000	24	20	0	14	24	20	0	14
16:45:00	60300	20	27	0	7	20	27	0	7
16:50:00	60600	7	10	0	4	7	10	0	4
16:55:00	60900	2	5	0	1	2	5	0	1
17:00:00	61200	30	21	0	10	30	21	0	10
17:05:00	61500	39	33	0	16	39	33	0	16
17:10:00	61800	35	28	0	23	35	28	0	23
17:15:00	62100	42	36	0	29	42	36	0	29
17:20:00	62400	43	44	0	28	43	44	0	28
17:25:00	62700	33	49	0	12	33	49	0	12
17:30:00	63000	13	20	0	5	13	20	0	5
17:35:00	63300	6	7	0	4	6	7	0	4
17:40:00	63600	3	4	0	3	3	4	0	3
17:45:00	63900	11	6	0	8	11	6	0	8
17:50:00	64200	12	12	0	8	12	12	0	8
17:55:00	64500	11	13	0	6	11	13	0	6
18:00:00	64800	10	11	0	5	10	11	0	5
18:05:00	65100	12	11	0	6	12	11	0	6
18:10:00	65400	10	11	0	5	10	11	0	5
18:15:00	65700	12	10	0	7	12	10	0	7
18:20:00	66000	7	9	0	5	7	9	0	5
18:25:00	66300	13	13	0	5	13	13	0	5
18:30:00	66600	5	8	0	2	5	8	0	2
18:35:00	66900	10	6	0	6	10	6	0	6
18:40:00	67200	11	9	0	8	11	9	0	8
18:45:00	67500	7	12	0	3	7	12	0	3
18:50:00	67800	13	12	0	4	13	12	0	4
18:55:00	68100	11	10	0	5	11	10	0	5
19:00:00	68400	12	7	0	10	12	7	0	10
19:05:00	68700	10	17	0	3	10	17	0	3
19:10:00	69000	8	6	0	5	8	6	0	5
19:15:00	69300	5	9	0	1	5	9	0	1
19:20:00	69600	6	5	0	2	6	5	0	2
19:25:00	69900	10	8	0	4	10	8	0	4
19:30:00	70200	11	10	0	5	11	10	0	5
19:35:00	70500	13	9	0	9	13	9	0	9
19:40:00	70800	7	10	0	6	7	10	0	6
19:45:00	71100	9	12	0	3	9	12	0	3
19:50:00	71400	4	4	0	3	4	4	0	3
19:55:00	71700	7	5	0	5	7	5	0	5
20:00:00	72000	3	7	0	1	3	7	0	1
20:05:00	72300	8	4	0	5	8	4	0	5
20:10:00	72600	3	7	0	1	3	7	0	1
20:15:00	72900	5	4	0	2	5	4	0	2
20:20:00	73200	6	5	0	3	6	5	0	3
20:25:00	73500	3	4	0	2	3	4	0	2
20:30:00	73800	1	3	0	0	1	3	0	0
20:35:00	74100	5	1	0	4	5	1	0	4
20:40:00	74400	4	5	0	3	4	5	0	3
20:45:00	74700	7	6	0	4	7	6	0	4
20:50:00	75000	7	10	0	1	7	10	0	1
20:55:00	75300	8	5	0	4	8	5	0	4
21:00:00	75600	6	6	0	4	6	6	0	4
21:05:00	75900	8	8	0	4	8	8	0	4
21:10:00	76200	11	8	0	7	11	8	0	7
21:15:00	76500	9	14	0	2	9	14	0	2
21:20:00	76800	10	10	0	2	10	10	0	2
21:25:00	77100	18	11	0	9	18	11	0	9
21:30:00	77400	11	14	0	6	11	14	0	6
21:35:00	77700	12	9	0	9	12	9	0	9
21:40:00	78000	9	14	0	4	9	14	0	4
21:45:00	78300	15	11	0	8	15	11	0	8
