ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-47.885123967175154	-47.885123967175154	-47.885123967175154	-47.885123967175154
1	-103.20341534008716	-125.8248134019309	-75.54426965363116	-25.263725905331416
2	-91.89088594948963	-168.99378806732784	-82.335183935959	-4.8084593494594845
3	-54.044874593131205	-174.60261624545316	-83.87964355255856	-3.032070688848802
4	-31.1304083881267	-175.19962009945013	-83.87717962130982	-2.383634564673567
5	-19.195809409728	-175.3933418268	-84.32686177077125	-2.3259824856361946
6	-16.84750202887084	-175.1707482284023	-82.98492931982223	-0.9616960963920917
7	-17.166377075479108	-171.91232696306335	-81.27518579757209	-0.8079744622442124
8	-11.776647924335418	-170.23377873230606	-79.66829142486037	-0.7598690574442744
9	-19.446831696208122	-166.79581436639214	-77.8801510629066	-0.6200218991834565
10	-14.848580873102154	-165.24543580432385	-75.7941449435068	0.7891889195858055
11	-17.51455452258959	-163.97024868749435	-75.23919126419109	0.9466907851910839
12	-14.279597132869535	-162.10263585467155	-73.36401585641237	1.0692535777801018
13	-12.259013534406394	-156.94348855621124	-70.65432206835013	1.2096173941270894
14	-14.419347108798911	-149.7514011025587	-68.29239842975117	1.260942974578761
15	-11.414545080438913	-144.22981568917012	-64.94843087121345	1.331394522147668
16	-10.18375047422892	-139.1344774913687	-61.982699865308525	1.4515883584837
17	-11.13367355010861	-130.6973312210082	-59.0709641116058	1.4984932967220956
18	-11.82698141015054	-126.03455753310448	-56.85401200264922	1.6184139235654542
19	-10.44392406729871	-122.00600200192153	-54.47222726114098	1.7378281977958463
20	-8.960487793889454	-116.24763562435218	-51.833823415547386	3.0407894857624878
