Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	09:36:43	09:36:43	09:36:43			09:36:43	09:36:43	09:36:43	09:36:43	09:36:43	09:36:43	09:36:43	09:36:47	09:36:47	09:36:47	09:36:47	09:36:47	09:36:47			09:37:05	09:37:05		00:00:00		00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:17	00:00:22
1	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:05	09:37:09	09:37:09	09:37:09	09:37:09	09:37:09	09:37:09			09:37:09	09:37:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
2	09:37:10	09:37:10	09:37:10	09:37:10	09:37:10	09:37:10			09:37:10	09:37:10	09:37:10	09:37:10	09:37:13	09:37:13	09:37:13	09:37:13	09:37:13	09:37:13			09:37:14	09:37:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
3	09:37:14	09:37:14	09:37:14	09:37:14	09:37:14	09:37:14			09:37:14	09:37:14	09:37:14	09:37:14	09:37:17	09:37:17	09:37:17	09:37:17	09:37:17	09:37:17			09:37:17	09:37:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	09:37:17	09:37:17	09:37:17	09:37:17	09:37:17	09:37:17			09:37:17	09:37:17	09:37:17	09:37:17	09:37:20	09:37:20	09:37:20	09:37:20	09:37:20	09:37:20			09:37:20	09:37:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	09:37:20	09:37:20	09:37:20	09:37:20	09:37:20	09:37:20			09:37:20	09:37:20	09:37:20	09:37:20	09:37:23	09:37:23	09:37:23	09:37:23	09:37:23	09:37:23			09:37:23	09:37:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	09:37:23	09:37:23	09:37:23	09:37:23	09:37:23	09:37:23			09:37:23	09:37:23	09:37:23	09:37:23	09:37:26	09:37:26	09:37:26	09:37:26	09:37:26	09:37:26			09:37:26	09:37:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	09:37:26	09:37:26	09:37:26	09:37:26	09:37:26	09:37:26			09:37:26	09:37:26	09:37:26	09:37:26	09:37:29	09:37:29	09:37:29	09:37:29	09:37:29	09:37:29			09:37:29	09:37:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	09:37:29	09:37:29	09:37:29	09:37:29	09:37:29	09:37:29			09:37:29	09:37:29	09:37:29	09:37:29	09:37:32	09:37:32	09:37:32	09:37:32	09:37:32	09:37:32			09:37:32	09:37:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	09:37:32	09:37:32	09:37:32	09:37:32	09:37:32	09:37:32			09:37:32	09:37:32	09:37:32	09:37:32	09:37:34	09:37:34	09:37:34	09:37:34	09:37:34	09:37:34			09:37:35	09:37:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:37	09:37:37	09:37:37	09:37:37	09:37:37	09:37:37	09:37:37	09:37:37	09:37:38	09:37:38		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03
11	09:37:38	09:37:38	09:37:38	09:37:38	09:37:38	09:37:38			09:37:38	09:37:38	09:37:38	09:37:38	09:37:40	09:37:40	09:37:40	09:37:40	09:37:40	09:37:40			09:37:41	09:37:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
12	09:37:41	09:37:41	09:37:41	09:37:41	09:37:41	09:37:41			09:37:41	09:37:41	09:37:41	09:37:41	09:37:43	09:37:43	09:37:43	09:37:43	09:37:43	09:37:43			09:37:44	09:37:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
13	09:37:44	09:37:44	09:37:44	09:37:44	09:37:44	09:37:44			09:37:44	09:37:44	09:37:44	09:37:44	09:37:46	09:37:46	09:37:46	09:37:46	09:37:46	09:37:46			09:37:46	09:37:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
14	09:37:46	09:37:46	09:37:46	09:37:46	09:37:46	09:37:46			09:37:46	09:37:46	09:37:46	09:37:46	09:37:49	09:37:49	09:37:49	09:37:49	09:37:49	09:37:49			09:37:49	09:37:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
15	09:37:49	09:37:49	09:37:49	09:37:49	09:37:49	09:37:49			09:37:49	09:37:49	09:37:49	09:37:49	09:37:52	09:37:52	09:37:52	09:37:52	09:37:52	09:37:52			09:37:52	09:37:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
16	09:37:52	09:37:52	09:37:52	09:37:52	09:37:52	09:37:52			09:37:52	09:37:52	09:37:52	09:37:52	09:37:55	09:37:55	09:37:55	09:37:55	09:37:55	09:37:55			09:37:55	09:37:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
17	09:37:55	09:37:55	09:37:55	09:37:55	09:37:55	09:37:55			09:37:55	09:37:55	09:37:55	09:37:55	09:37:58	09:37:58	09:37:58	09:37:58	09:37:58	09:37:58			09:37:58	09:37:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
18	09:37:58	09:37:58	09:37:58	09:37:58	09:37:58	09:37:58			09:37:58	09:37:58	09:37:58	09:37:58	09:38:00	09:38:00	09:38:00	09:38:00	09:38:00	09:38:00			09:38:01	09:38:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
19	09:38:01	09:38:01	09:38:01	09:38:01	09:38:01	09:38:01			09:38:01	09:38:01	09:38:01	09:38:01	09:38:03	09:38:03	09:38:03	09:38:03	09:38:03	09:38:03			09:38:03	09:38:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
20	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:04	09:38:06	09:38:06	09:38:06	09:38:06	09:38:06	09:38:06	09:38:06	09:38:06	09:38:06	09:38:06		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
